0.1394,0.0079,-9.8043,-0.0021,0.0004,0.0011,-0.077054,-0.015952,-0.116976,682430,757
0.1375,-0.0081,-9.834,0.0015,-0.0023,-0.0027,-0.077054,-0.015952,-0.116976,692930,757
0.123,0.004,-9.839,-0.0006,0.0009,-0.0005,-0.077054,-0.015952,-0.116976,703430,757
0.1461,-0.0105,-9.8331,0.0007,-0.0006,0.0008,-0.077054,-0.015952,-0.116976,713930,757
0.1206,0.0072,-9.8178,-0.0005,-0.0056,0.0001,-0.077054,-0.015952,-0.116976,724430,757
0.1176,-0.001,-9.8288,0.0005,-0.0007,-0.0011,-0.077054,-0.015952,-0.116976,734930,757
0.1403,-0.0021,-9.8249,0.0026,0.0021,0.0004,-0.077054,-0.015952,-0.116976,745430,757
0.0905,-0.0161,-9.8116,0.0006,0.0006,0.0012,-0.077054,-0.015952,-0.116976,755930,757
0.127,0.0135,-9.8501,0.0026,-0.0018,-0.0013,-0.077054,-0.015952,-0.116976,766430,757
0.1463,0.0208,-9.8415,0.0004,0.001,-0.0002,-0.077825,-0.015333,-0.117776,776476,758
0.1129,0.0065,-9.8412,0.0001,0.0007,0.003,-0.077825,-0.015333,-0.117776,786976,758
0.1284,0.0005,-9.8057,-0.0001,0.0025,-0.0036,-0.077825,-0.015333,-0.117776,797476,758
0.1241,0.001,-9.8367,0.0031,0.0009,0.0019,-0.077825,-0.015333,-0.117776,807477,758
0.1266,-0.0186,-9.8267,0.0025,-0.0005,-0,-0.077825,-0.015333,-0.117776,817977,758
0.1269,-0.0097,-9.8288,0.0012,-0.0029,0.0006,-0.077825,-0.015333,-0.117776,828477,758
0.1493,-0.0067,-9.8006,0.002,0.0011,-0.0026,-0.077825,-0.015333,-0.117776,838977,758
0.1208,-0.0164,-9.8189,0.0002,0.0012,0.001,-0.077825,-0.015333,-0.117776,849477,758
0.1384,-0.0408,-9.837,0.0008,-0.0016,0.0013,-0.077825,-0.015333,-0.117776,859977,758
0.1283,-0.0045,-9.8052,0.0013,0.0045,-0,-0.078209,-0.016026,-0.118993,870021,759
0.1452,-0.0037,-9.8381,0.0002,0.0023,0.0026,-0.078209,-0.016026,-0.118993,880521,759
0.152,-0.0074,-9.814,0.0027,-0.0005,0.0002,-0.078209,-0.016026,-0.118993,891021,759
0.109,-0.0106,-9.8239,-0.0013,-0.0053,-0.0013,-0.078209,-0.016026,-0.118993,901521,759
0.1392,-0.0213,-9.8231,0.0022,-0.0011,-0.0003,-0.078209,-0.016026,-0.118993,912021,759
0.1406,-0.0096,-9.8162,-0.0004,0.0042,0.0012,-0.078209,-0.016026,-0.118993,922521,759
0.1235,0.0034,-9.8291,0.0023,0.0011,0.0001,-0.078209,-0.016026,-0.118993,933021,759
0.1324,-0.0248,-9.8165,-0.0008,0.0002,-0.002,-0.078209,-0.016026,-0.118993,943521,759
0.135,-0.0124,-9.822,0.0002,0.006,0.0041,-0.078209,-0.016026,-0.118993,954021,759
0.1399,0.0155,-9.8368,-0.0001,-0.0042,-0.0014,-0.078209,-0.016026,-0.118993,964521,759
0.1374,-0.0112,-9.8214,-0,0.0027,0.0006,-0.078209,-0.016026,-0.118993,975021,759
0.0972,-0.0163,-9.8334,0.0002,-0.0013,-0.001,-0.078209,-0.016026,-0.118993,985521,759
0.1124,0.0011,-9.8244,-0.0035,0.0012,0.0033,-0.079096,-0.014023,-0.11681,996071,760
0.1157,0.0114,-9.8364,0.0025,-0.0009,-0.0034,-0.079096,-0.014023,-0.11681,1006571,760
0.1324,-0.0258,-9.8006,-0.002,0.0032,0.0021,-0.079096,-0.014023,-0.11681,1017071,760
0.1076,-0.0156,-9.8296,0.0009,0.0023,-0.0002,-0.079096,-0.014023,-0.11681,1027571,760
0.1281,-0.0027,-9.8169,0.0017,0.0036,0.0006,-0.079096,-0.014023,-0.11681,1038071,760
0.1216,0.0079,-9.8186,-0.0004,-0.0032,0.0029,-0.079096,-0.014023,-0.11681,1048571,760
0.1239,-0.0216,-9.8073,0.0041,-0.0015,0.0005,-0.079096,-0.014023,-0.11681,1059071,760
0.1283,-0,-9.8315,0.0012,-0.0031,-0.001,-0.079096,-0.014023,-0.11681,1069571,760
0.1223,-0.0166,-9.8325,0.0006,0.0001,0.002,-0.079096,-0.014023,-0.11681,1080071,760
0.1242,-0.0049,-9.8509,0.0001,0.0039,-0.0029,-0.079096,-0.014023,-0.11681,1090571,760
0.1363,-0.0012,-9.8001,0.0003,0.0001,0.0005,-0.078168,-0.01498,-0.117831,1101120,761
0.1365,-0.0118,-9.8233,0.0001,0.0042,0.0018,-0.078168,-0.01498,-0.117831,1111620,761
0.1426,-0.0017,-9.8457,0.002,-0.0023,0.0007,-0.078168,-0.01498,-0.117831,1122120,761
0.1321,-0.0312,-9.8226,-0.0024,-0.0063,0,-0.078168,-0.01498,-0.117831,1132620,761
0.114,0.0338,-9.8081,0,0.0006,0.0023,-0.078168,-0.01498,-0.117831,1143120,761
0.123,-0.0054,-9.8359,-0.0003,0.0014,0.0003,-0.078168,-0.01498,-0.117831,1153620,761
0.1202,0.009,-9.803,-0.001,-0.0009,-0.0006,-0.078168,-0.01498,-0.117831,1164120,761
0.138,-0.0068,-9.8097,0.0006,0.0007,0.0004,-0.078168,-0.01498,-0.117831,1174620,761
0.1394,0.0038,-9.8316,0.0006,-0.003,-0.0002,-0.078168,-0.01498,-0.117831,1185120,761
0.1248,-0.0083,-9.8163,-0.0019,-0.0005,-0.0003,-0.078168,-0.01498,-0.117831,1195620,761
0.1187,-0.0112,-9.8106,-0.0003,-0.0002,-0.0024,-0.078168,-0.01498,-0.117831,1206120,761
