time_us,x,y,z,qw,qx,qy,qz
3363450,-1.39114,0.542164,-0.0762395,-0.0354984,0.00452398,0.00439037,0.99935
3397336,-1.39108,0.542242,-0.0763643,-0.0353008,0.00455984,0.00417982,0.999358
3430339,-1.39114,0.542201,-0.0764666,-0.0355579,0.00612641,0.00309393,0.9993441
3463018,-1.39106,0.54225,-0.0764602,-0.0353908,0.00610575,0.00440539,0.999345
3497394,-1.39112,0.542161,-0.0762244,-0.0353781,0.00428052,0.00459285,0.999354
3530527,-1.3911,0.542276,-0.0763901,-0.0349598,0.00522236,0.00390894,0.9993671
3563632,-1.39104,0.542122,-0.0765974,-0.0357442,0.0063422,0.00231474,0.999338
3597439,-1.39101,0.54217,-0.0762881,-0.0354793,0.00459559,0.00417797,0.999351
3630658,-1.391,0.542291,-0.0763337,-0.035182,0.00470343,0.00425602,0.9993611
3663980,-1.39105,0.542198,-0.0764641,-0.0349779,0.0061575,0.00402171,0.999361
3697000,-1.39103,0.54229,-0.0764478,-0.035195,0.0054137,0.00306258,0.999361
3729966,-1.3911,0.542173,-0.0764526,-0.0351504,0.00637466,0.00404067,0.999354
3764680,-1.39113,0.542195,-0.0764409,-0.0352866,0.00609192,0.00372461,0.9993521
3796839,-1.39114,0.542218,-0.0763301,-0.0350414,0.00547372,0.00317317,0.999366
3829871,-1.39118,0.542237,-0.0765105,-0.0348031,0.00720446,0.0015514,0.999367
3863115,-1.39117,0.542236,-0.0763303,-0.0351003,0.00620231,0.00284663,0.999361
3896482,-1.39113,0.542214,-0.0763691,-0.0351428,0.00584508,0.00419743,0.9993561
3931021,-1.39116,0.542151,-0.0761929,-0.0352231,0.00466294,0.0044017,0.999359
3964281,-1.39112,0.542142,-0.0763726,-0.0351608,0.00564865,0.00380547,0.999358
3996574,-1.39116,0.542186,-0.0764111,-0.0355057,0.00635866,0.00324449,0.9993441
4030133,-1.39107,0.542229,-0.0764702,-0.0353903,0.00647807,0.00413547,0.999344
4063517,-1.39115,0.542153,-0.0762666,-0.0355021,0.00517627,0.00387517,0.999349
4097231,-1.39114,0.542274,-0.0764009,-0.0350876,0.00590254,0.00386918,0.9993591
4131037,-1.39109,0.542094,-0.0765476,-0.0359576,0.00698421,0.00238874,0.999326
4164384,-1.39107,0.542156,-0.0763225,-0.0358241,0.00536213,0.00396175,0.999336
4197170,-1.39104,0.542203,-0.0763481,-0.0356388,0.00541478,0.00371224,0.999343
4230040,-1.3911,0.542231,-0.0764522,-0.0351808,0.00653154,0.00360638,0.9993531
4263708,-1.39105,0.542269,-0.0764009,-0.0352046,0.00570324,0.00289398,0.99936
4297723,-1.39117,0.542218,-0.0764165,-0.0351038,0.00666441,0.00345403,0.999355
4330783,-1.39115,0.542171,-0.0765034,-0.0357186,0.00734788,0.00289354,0.9993311
4363939,-1.39111,0.54222,-0.0763423,-0.0355685,0.00547976,0.00390587,0.999345
4397287,-1.39114,0.542259,-0.076438,-0.0354998,0.00608016,0.00322905,0.999346
4430102,-1.39115,0.542126,-0.0764595,-0.0360751,0.00668807,0.00316057,0.999322
4463421,-1.39115,0.542253,-0.0764058,-0.0352332,0.00631976,0.00370625,0.9993521
4497011,-1.39112,0.542098,-0.0762258,-0.0359632,0.0047756,0.00453506,0.999331
4531652,-1.39113,0.542213,-0.0763784,-0.035526,0.00553891,0.00375164,0.999346
4563674,-1.39117,0.542236,-0.0764673,-0.0355244,0.00679806,0.00298834,0.9993411
4597367,-1.39108,0.542276,-0.076459,-0.0353294,0.00663118,0.0039934,0.999346
4630599,-1.39106,0.542254,-0.0761372,-0.0352237,0.0039389,0.00459589,0.999361
4663760,-1.39112,0.542316,-0.076311,-0.0347131,0.0056232,0.00341982,0.9993761
4697003,-1.39109,0.542221,-0.0765124,-0.0352888,0.0065359,0.00231274,0.999353
4730335,-1.39106,0.542149,-0.0762969,-0.0356661,0.00574861,0.00401349,0.999339
4763455,-1.39105,0.542194,-0.0762993,-0.0357223,0.00554253,0.00434847,0.999337
4796847,-1.39109,0.542163,-0.0764263,-0.0356447,0.00690478,0.00409059,0.9993321
4830395,-1.39102,0.542222,-0.0763564,-0.0358846,0.00582342,0.00329358,0.999334
